epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,8888.5,0.97046,0.74352,1.38464,0.66916,0.62229,0.656,0.42585,1.55417,1.57775,1.98985,8.26e-05,8.26e-05,8.26e-05
141,8949.03,0.69776,0.68212,1.25156,0.66916,0.62229,0.656,0.42585,1.55417,1.57775,1.98985,7.6e-05,7.6e-05,7.6e-05
142,8990.08,0.77715,0.83192,1.29787,0.64693,0.61653,0.6452,0.42166,1.53701,1.64152,1.96686,6.94e-05,6.94e-05,6.94e-05
143,9028.75,0.67768,0.61105,1.14204,0.57015,0.66492,0.62431,0.41195,1.53928,1.67207,1.96112,6.28e-05,6.28e-05,6.28e-05
144,9065.59,0.61769,0.59204,1.0756,0.57015,0.66492,0.62431,0.41195,1.53928,1.67207,1.96112,5.62e-05,5.62e-05,5.62e-05
145,9102.78,0.56615,0.56684,1.02059,0.56722,0.66605,0.62178,0.41457,1.53897,1.70331,1.96031,4.96e-05,4.96e-05,4.96e-05
146,9139.51,0.66468,0.63363,1.18635,0.56722,0.66605,0.62178,0.41457,1.53897,1.70331,1.96031,4.3e-05,4.3e-05,4.3e-05
147,9177.25,0.69349,0.56888,1.18143,0.54687,0.66432,0.61647,0.41169,1.52693,1.73,1.94133,3.64e-05,3.64e-05,3.64e-05
148,9214.22,0.63717,0.55361,1.0983,0.55745,0.64594,0.61217,0.40629,1.52751,1.7331,1.94601,2.98e-05,2.98e-05,2.98e-05
149,9252.85,0.56862,0.52844,1.06476,0.55745,0.64594,0.61217,0.40629,1.52751,1.7331,1.94601,2.32e-05,2.32e-05,2.32e-05
150,9291.59,0.65002,0.62973,1.07046,0.55418,0.62633,0.60497,0.4043,1.51936,1.745,1.9312,1.66e-05,1.66e-05,1.66e-05
1,189.571,1.22911,1.93575,1.60749,0.3757,0.62839,0.52179,0.33043,1.41484,1.76579,1.94585,0.0678684,0.000324561,0.000324561
2,405.361,1.16297,1.63809,1.53436,0.41778,0.61765,0.58969,0.36251,1.33057,2.74491,1.86286,0.0348619,0.000651382,0.000651382
